Network,FamilyName,Alias,FamilyRoleOrder,Instance,VisualSignature,Hook,AttackDesc,Orig1,Orig2,Orig3,Orig4,Fear1,Fear2,Fear3,Ambition1,Ambition2,Ambition3,Loves1,Loves2,Loves3,FamilyLinkType,FamilyLinkDetails,FamilyDynamicType,FamilyDynamicDetail,PartnerDesc,ExtPerson1,ExtPerson2,ExtPerson3,ExtDescription1,ExtDescription2,ExtDescription3
Prominence,Dan,Tommy W,5,2,"Work-ready stance; utility belt, gloves, clipped badge, calm eyes that track routes and choke points.","The moment a system fails, Tommy is already moving—route, access, replacement—no speeches, just restore function.","Whips a canister toss tool in a high arc, using the canister’s weight to pop the target upward, then snaps the line to slam them down—Restock Arc.",“Keep it stocked. Keep it running. Keep it boring.”,Tommy lives in routes and resets. He learned that most disasters start as ‘minor issues’ that nobody wants to own.,"At Digital Dynamo, he runs vending operations with a field mindset: inventory, maintenance, incident response, and tight scheduling that keeps friction low.","When the lab needs supplies, tools, or last-minute swaps, Tommy can move them without turning it into a story—fast, traceable, and dull enough to pass.",Route disruption,System-wide outage,Being tied to core heat,Zero downtime weeks,Own operations end-to-end,Protect his lane,Checklists — a small habit that keeps them human.,Utility gear — a small habit that keeps them human.,Early-morning resets,Route Custodian,"Keeps routes, stock, and maintenance moving; makes supplies appear where they’re needed without a fuss.",Restock Marshal,"Keeps the crew fed, stocked, and functional; restores flow the moment it breaks.",A seasoned dime time merchant with her own momentum. Serena. A Nurse. She treats his injuries in secret.,,,,,,
Prominence,Dan,Ryan D,5,3,"Neon-night authority; LED accents, club-ready fit, confident posture that reads ‘host’ and ‘enforcer’ at once.","When the music drops, Ryan’s smile stays—but his eyes flip into business mode, and the whole room feels it.","Cracks two neon arnis sticks in a tight rhythm, baiting the jump, then punishes the descent with a clean, grounded strike—House Rules: Down.",“Crowds don’t lie. You just have to listen without a screen.”,"Ryan built Laserbeat Arcade into a living map of the city—music, people, rumors, and pressure all moving in one place.","He’s charismatic on the floor and surgical behind the scenes. He sets rules, reads the room, and keeps the venue alive without losing control.","For Prominence, Ryan is an outsider with leverage: analog intel, field-test space, and a social network that can spot patterns before any dashboard does.",License shutdown,Silence/no crowd,Digital compromise,Grow Laserbeat hub,Keep the venue independent,Become a legend host,Neon aesthetics,Rhythm and tempo,Face-to-face intel,Neon Floorboss,"Provides a live social map via Laserbeat—venue intel, field-test space, and crowd-level signals.",House Rules,"Runs the room by rule-set and rhythm—fun on the surface, hard boundaries underneath.",A trainee laserbeat arcade hostess with her own momentum. Kylie. A Teacher. She grounds him in reality.,,,,,,
Prominence,Dan,Oliver F,5,4,"Sharp, controlled look; earpiece, crisp polo, expression like a checklist—focused on what’s missing, not what’s loud.","When someone says ‘it should work,’ Oliver answers with one line: ‘Show me the repro steps.’","Slides tether pucks across the ground to lock a path, then yanks the line to force a misstep and a hard reset—Regression Clamp.","“No proof, no ship.”",Oliver trusts structure more than charisma. He turns messy talk into reproducible steps and makes sure the fix actually sticks.,"At Digital Dynamo, he runs QA like a gate: define the expectation, break the build, clamp the regression, then ship clean.","In the lab, Oliver owns prototype testing. He designs failure gates and stress loops so breakthroughs survive reality instead of dying on first contact.",Unreproducible failures,Process drift — a fear that sits under the ribs and won’t move.,Shipping something fragile,Perfect regression suite,Bulletproof prototypes,Make ‘proof’ the culture,Checklists — a small habit that keeps them human.,Clean logs — a small habit that keeps them human.,Controlled experiments,Format Warden,Turns claims into test cases; owns prototype testing and regression gates so the tech survives reality.,Regression Clamp,"Kills ‘vibes talk’ with format control. If it can’t be reproduced, it doesn’t exist.","Operative - IT Support Specialist. Front-desk calm with sharp instincts for exits, excuses, and keeping attention off the wrong details.",,,,,,
Prominence,Dan,Codey S,5,5,"Bright-eyed lead energy; branded polo, clean haircut, steady smile that reads ‘we’re shipping today.’","When momentum dies, Codey hits the room with a fast reset—one call, one plan, and suddenly everyone’s moving again.","Assisted by a kinetic belt, bursts forward with a short-range body-check that converts momentum into impact—Ship-It Surge.",“We don’t wait for perfect—we build the next version and make it hold.”,"Codey leads with momentum. He keeps teams aligned, keeps work moving, and makes decisions that don’t wobble under stress.","Publicly, he’s the senior lead who turns complexity into deliverables. People follow him because outcomes keep landing.","Privately, Codey sits at the top of the lab chain—setting priorities, delegating specialties, and protecting cohesion while the tech pushes forward.",Stalled momentum,Team fracture — a fear that sits under the ribs and won’t move.,Deadline miss — a fear that sits under the ribs and won’t move.,Drive a real breakthrough,Keep the crew loyal,Turn prototypes into upgrades,Sprint wins — a small habit that keeps them human.,Whiteboard planning,Quick morale rituals,Dispatch Spark,"Sets priorities, assigns work, and keeps the team moving—delivery, cohesion, and mission coordination.",Ship-It Surge,"Turns panic into motion. When progress stalls, he triggers the surge and everyone ships.",A executive socialite with her own momentum. Sidra. A DJ. She matches his chaotic energy.,,,,,,
Prominence,Dan,Brick D,5,6,"Compact intensity; short hair, hard stare, lab coat over workwear, hands always near a blueprint edge.","When the team gets excited, Brick finds the failure point in ten seconds—and saves them a week of pain.","Plants a control shield and surges in, ramming through guard with a shoulder-led drive and a shield crush—Audit Ram.","“If it can fail, it will. So we design for the failure first.”",Brick thinks in thresholds and consequences. He’s the one who looks at a bold idea and immediately sees where it breaks.,"At Digital Dynamo, he works risk and controls—closing gaps, tightening processes, and keeping ‘small’ risks from becoming failures.","In the lab, Brick designs blueprint logic: layout, sequencing, guardrails. He doesn’t kill ambition—he makes it survivable.",Uncontrolled risk,Oversight breach,Blueprint error,Design survivable systems,Zero surprises,Guardrails that hold,Diagrams — a small habit that keeps them human.,Constraints — a small habit that keeps them human.,Practical tools,Controls Ram,"Designs guardrails and blueprint logic; converts risky ambition into buildable, repeatable systems.",Audit Wedge,Hits the plan with an audit wedge—finds the failure point before it finds them.,Operative - IT Support Specialist. Blake. A Chef. She cooks him massive meals.,,,,,,
Prominence,Dan,Dan D,5,7,"Quiet builder; short beard, focused gaze, sleeves ready for work, hands that look like they’ve fixed things all their life.","When the prototype fails, Dan doesn’t flinch—he reroutes the build, tightens the tolerances, and tries again.","Snaps a tripline spool across the floor to catch ankles, then follows with a fast, utilitarian strike—The Hotfix.",“Give me constraints and a clock. I’ll give you a working build.”,"Dan is new to the core, but not new to building. He learns by doing, and he doesn’t get scared when the first version fails.","At Digital Dynamo, he’s the junior dev with hands-on instincts—tinkering, iterating, and turning specs into functional builds.","In the lab, Dan becomes the prototype engine: assembly, calibration, iteration. He earns trust the Prominence way—results that hold.",Being sidelined,Building the wrong thing,Not earning trust,Prove his value,Master prototyping,Become core-reliable,Hands-on builds,Tinkering — a small habit that keeps them human.,Iteration loops,Shadow Lead,Builds and iterates prototypes; turns specs into working hardware under pressure.,Hotfix Crown,"Hotfix energy: fast rebuilds, tight iterations, and stubborn focus when the first version fails.",A junior hairdresser with her own momentum. Chloe. Student. She supports his dreams.,,,,,,
Prominence,Dan,Sam S,5,8,"Military-still posture; precise grooming, disciplined clothing, alert eyes that treat every door like a question.","When a door opens that shouldn’t, Sam’s voice goes quiet—and the whole lab remembers the rules exist for a reason.","Fires a grapple line to change spacing on command—pulls in, swings out, then drops the target into a controlled fall—Perimeter Drop.",“Protocol is mercy. It keeps good people alive.”,"Sam is the quiet shield. He treats access, identity, and protocol like physical laws—break them and reality breaks back.","At Digital Dynamo, he holds network security: architecture, monitoring, and the discipline that keeps systems stable under pressure.","In the lab, Sam expands into clearance design—tiers, scope, and partitions that let the project move without leaking or losing control.",Protocol breach,Access sprawl — a fear that sits under the ribs and won’t move.,Ethical compromise,Total peace of mind,Clearance that holds,A clean moral line,Security architecture,Routine — a small habit that keeps them human.,Quiet competence,Perimeter Architect,Designs clearance tiers and security partitions; controls access so the lab can progress without leaks.,Perimeter Drop,"Controls perimeter and spacing. If something crosses the line, it gets dropped back out.","Operative - IT Support Specialist. Blake. A Receptionist. They share a quiet, boring life.",,,,,,
Imperium,Nick,Logan X,6,1,Muscular build in custom-tailored suits; charismatic smile with bored eyes that never quite relax.,"The moment his friendly tone stays the same, but his words turn precise enough to make you rethink your next sentence.","Snaps the paddle up like a bouncer’s check, then drives an abrupt upward strike that stuffs a jumper before they land.","“In Shady Town, the difference between a favor and a trap is who keeps the receipt.”","Logan X runs a red-light storefront that looks like a joke until you realize it’s a filter. The neon, the humor, the casual chatter—those are the curtains. Behind them is a man who trades in access and keeps score without raising his voice.","He prefers quiet meetings and routine check-ins that look like errands. Logan isn’t interested in house mechanics or grand speeches; he cares about outcomes, names, and timing. If someone needs a safe handoff point that doesn’t look like a meet, he can make it happen—so long as the rules stay clean.","People think Logan’s power is money. It’s not. It’s memory. He remembers who asked, who owed, who flinched, and who didn’t. He doesn’t threaten often—but when he does, it lands because it’s never emotional. It’s accounting.",His ledger of favors and clients being exposed.,Losing leverage and becoming ‘just another shop’ in Shady Town.,A hostile takeover of his market lane.,Become the most reliable leverage broker in Shady Town’s corridor.,Build enough quiet control to disappear whenever he chooses.,Turn one high-value contact into a long-term sponsor that keeps his lane protected.,Music playing low behind the counter.,A clean ledger and a controlled conversation.,Leverage that doesn’t require raising his voice.,Leverage,"Logan supplies discreet access, introductions, and information through routine, off-site check-ins in Shady Town.",Ledger,"Nick treats Logan as a necessary connector; Logan treats Nick as a high-value client—useful, predictable, and always recorded.",A executive private wealth manager with her own momentum. Valerica. Fitness Model. She matches his intensity.,,,,,,
Imperium,Nick,Josh R,6,2,Perpetually nervous with careful hands; cafeteria uniform that never looks fully comfortable on him.,"The moment he forgets to be timid and starts describing a dish with quiet, expert certainty.",Slides in under pressure and snaps his knife upward in a fast service-line cut meant to stop a leaping opponent mid-commit.,"“If you eat well, you think straight. That’s all I’m trying to do.”","Josh R works the Unity College cafeteria like it’s a safe disguise. He keeps his head down, speaks softly, and lets people underestimate him—because being noticed feels like being judged.","In the right moments, the mask slips: a perfectly timed seasoning, a ‘simple’ meal that tastes like a secret, a quiet competence that doesn’t match the uniform. Some nights, he’s the reason a private gathering feels polished instead of chaotic—food that steadies everyone without announcing itself.","Outsiders have their stories. A few swear they’ve seen Josh at North Park feeding pigeons, calm as a monk, tossing a ball for a dog that never seems to bark. The park part is true; the dog is just a rumor that stuck. Either way, it fits: Josh is always surrounded by small, harmless things—because big attention scares him.",Public critique or being singled out for his work.,Food poisoning someone when the pressure spikes.,Being recognized and pushed into the spotlight.,Become a celebrated chef without becoming a public figure.,Perfect one classic dish until it feels effortless.,"Own a small, quiet café far from the city’s noise.",Mise en place—order before chaos.,Secret menus and ‘off-list’ requests.,Quiet early mornings when nobody is watching.,Supply,Josh provides discreet food support and catering that keeps the house steady without drawing attention.,Necessity,"Nick values the results—meals, timing, calm—without seeing Josh’s anxiety; Josh stays close because the work keeps him fed and hidden.",A executive sociology professor with her own momentum. Vivianne. Waitress. She pities him.,,,,,,
Imperium,Nick,Kyle M,6,3,"Sun-tanned, athletic, and unhurried; moves with the controlled ease of a lifeguard who trusts the water.",The moment he drops a calm line that cuts straight through bravado and leaves the room quieter.,"Drops low, hooks the strap, and yanks with the rescue can like an undertow—then drives the can in to pin momentum and anchor the target.",“The ocean doesn’t care who you are. It just tells the truth faster.”,Kyle M left the house life without making it a drama. He was inside once—long enough to learn how the fraternity thinks—then chose the shoreline over the staircase. It wasn’t a rebellion. It was a decision.,"As a lifeguard, he lives by simple rules: notice early, act fast, don’t panic. That same calm makes him useful to people who live too close to pressure. Kyle can pull someone out of a spiral with a drive to the beach and a stretch of silence that feels earned instead of awkward.","He isn’t everyone’s favorite. Kyle can be quietly judgmental—especially toward excess and ego. But he shows up when it matters, and he doesn’t ask for credit. For Nick’s circle, he’s an escape lane: not a new plan, just air.",Being pulled back into city life and obligations he doesn’t respect.,Losing his freedom and access to the shoreline.,The ocean being polluted or made unusable.,Travel to the best surf and shoreline spots he’s never seen.,Build a small beachside shack that stays simple and real.,"Keep his life owned—no chains, no cages, no pretend prestige.",Sunrise patrols and clean air.,Saltwater silence and simple living.,Helping someone breathe without making it a speech.,Escape,Kyle provides a calm breather lane—shoreline routines and low-noise advice—when the house needs a reset.,Pressure Valve,"Nick respects Kyle’s reliability; Kyle helps, but refuses to flatter—he’ll pull you out of trouble and still tell you what caused it.","A trainee student with her own momentum. On-and-off rhythm—she may crash at Kyle’s place for a few months, then disappear back to her own lane. Kyle’s old enough to keep it clean: no titles, no claims, just what it is *for now*.",,,,,,
Imperium,Nick,Luke C,6,4,Muscular and disciplined; sharp fraternity clothes and controlled posture that reads ‘procedure’ before ‘person.’,"The brief, nervous tremor when he’s forced to act without a rule to stand behind.",Launches into a controlled aerial entry; straps snap tight as he turns the jump into a mat-rise skyturn strike and lands already reset.,“Rules don’t limit you. They keep you alive.”,"Luke C is Lewor-side and built for structure. He remembers what was agreed, what was promised, and what breaks when people ignore the small rules. In a house split between two campus worlds, he’s the spine that keeps hallways behaving.","He thinks in procedures—checklists, standards, and consequences delivered calmly like a contract. When tension rises, Luke’s first move is containment: slow it down, separate it, make it legible, and let the system do the work.","The rumor mill follows him anyway. Some people swear he becomes furious if anyone disturbs him in his room, like he’s guarding something illegal or dangerous. Others say he’s harmless and simply private. Either way, the result is the same: most people knock, and they knock carefully.",Procedural failure—missing a detail that creates a loophole.,The fraternity’s structure dissolving into chaos.,Anarchy—decisions made without standards.,Become the house’s definitive keeper of standards and procedure.,Write a handbook of rules that closes every loophole.,Build a system strong enough that even tempers can’t break it.,Clean routines and clear boundaries.,Written rules that hold under pressure.,Repeatable training mechanics—practice that feels like order.,Code,Luke maintains internal standards and procedure that let Nick’s authority stay ‘legitimate’ inside the house.,Hand,Nick is the public face; Luke is the procedural enforcement that makes decisions stick. Nick finds him rigid; Luke finds rigidity safer.,A trainee student with her own momentum. Brin. Physiotherapist. She keeps him fighting.,,,,,,
Imperium,Nick,Zack D,6,5,Hard-set posture and taped hand straps; a practical street-brawler presence that quiets a room without a speech.,When he steps into the porch light and the argument finds its exit on its own.,"Powers into an aerial leap, draws both fists back behind his head, and crashes down in a double‑fisted hammerfall driven by full-body momentum.",“I don’t want power. I want a life that can’t be starved out.”,"Zack D came to Lewor on a thin margin—scarcity taught him to measure food, time, and trust. He keeps his comforts simple: stocked shelves, straight answers, and a basement corner where he can breathe without an audience.","Inside APT, he’s respected for consistency. He doesn’t posture; he prevents problems. He watches thresholds, interrupts tension early, and closes loops before they become scenes. People call him “next in line” not because he campaigns, but because he doesn’t flinch when things get complicated.","His reputation has weight. Some people say Zack took a life before he even reached his twenties. Nobody can prove it—and nobody repeats it too loudly. The rumor sticks because his restraint feels like something trained, not something natural.",Losing Lewor after fighting his way in.,Slipping back into scarcity and hunger.,Becoming the kind of campus story that drags other names down with him.,"Earn the degree, then use it as leverage to fix what the city keeps neglecting.","Become untouchably self-sufficient, so hunger never gets a vote in his decisions again.",Restore a motorcycle from scrap and take one private road out of the city when his obligations are done.,A full fridge / stocked pantry.,A straight answer.,The basement air.,Strike Hand,Zack handles hard corrections and protects Lewor clique edges before problems grow.,Protégé,Nick values Zack’s drive and steadiness; Zack seeks approval but is ultimately chasing stability—proof he’ll never be hungry again.,A trainee student with her own momentum. Violet. Tattoo Artist. She covers his scars.,,,,,,
Imperium,Nick,Chase A,6,6,"Clean, preppy, and meticulously prepared; calm eyes that look like they’re already measuring exits.","When he says, “If we can leave, we leave,” and everyone realizes he already planned the route.","Uses a casual baseball toss as a feint to draw attention, then surges forward in a full-force shoulder charge that breaks the line.","“If we can leave, we leave.”","Chase A lives in preparation. He masks anxiety with compulsive checking, tidy habits, and plans that end where they began: safely, quietly, and with the aftermath kept at arm’s length.","In the Unity clique, he’s the contingency brain. He turns chaos into steps and steps into something survivable. He’s not loud-intimidating; he’s quietly undeniable—the person who asks, “And what happens after?” until the room answers honestly.","People call him apathetic because his face stays steady. The better read is restraint: Chase hates being trapped inside consequences. He’d rather solve a problem cleanly, then leave before it becomes a story.",Aftermath—being trapped inside consequences he can’t control.,Emotional attachment that makes him careless.,Losing clean options and being forced into messy choices.,Build a life where the people he cares about always have an exit.,Graduate into a career that rewards precision over drama.,Perfect his own discipline—calm that doesn’t depend on a mask.,Checklists and clean plans.,Chemistry-minded problem solving.,Dogs—simple loyalty without politics.,Contingency,"Chase reduces risk—planning exits, timing, and clean decisions that keep the group from getting stuck.",Analyst,"Nick pushes momentum; Chase insists on consequences. They clash, but Chase’s calm often wins because it’s hard to argue with survival math.",A executive real estate heiress with her own momentum. Kyler. Club Promoter. She helps him find clients.,,,,,,
Imperium,Nick,Johnny L,6,7,"Loud, dramatic, and dressed for attention; expressive hands and a face that’s always mid-performance.",The moment his grin falters and he checks for validation like it’s oxygen.,"Sweeps low with the bat like a dance step—ankles out, balance gone—then resets before the target can recover.",“Give me thirty seconds and I can make a room believe whatever we need.”,"Johnny L is Unity’s walking announcement: the guy who can turn a quiet hallway into a crowd just by existing. He’s loud because silence feels like rejection, and he fills space before the space can exclude him.","In the house, Johnny is momentum. He breaks tension with humor, redirects attention with charm, and builds a clean excuse on demand when a night needs to look harmless. The performance isn’t vanity—it’s survival in public.","People call him ‘unwelcome’ behind his back, like his presence is a tax on the room. Johnny hears it anyway. He just keeps smiling, keeps talking, and keeps the mood afloat—until he runs out of air somewhere nobody’s watching.",Silence—being ignored or left out.,A negative public story that sticks.,"Losing his voice, charm, or stage presence.",Become a recognized motivational speaker and public performer.,Achieve viral fame on his own terms.,Stay the preferred public voice when the house needs a story.,Spotlight and attention when it lands clean.,Narrative control—making chaos sound harmless.,"Applause, even if he pretends it doesn’t matter.",Voice,"Johnny shapes mood and messaging—cover stories, public-facing charm, and the social shield of performance.",Amplifier,Nick tolerates Johnny’s noise because it’s useful; Johnny clings to Nick’s approval because it proves he still belongs.,A trainee student with her own momentum. Venus. Makeup Artist. She creates his look.,,,,,,
Imperium,Nick,Ryan L,6,8,"Baggy clothes, a restless grin, and hands that never stop moving; playful eyes that are always mapping angles.","The genuine, childish delight when a prank lands perfectly—and the room forgets to watch the important thing.",Drives forward with the hockey stick like a forecheck—full-force pressure through the center line that scatters anyone in the way.,"“If they’re looking at me, they’re not looking at you.”","Ryan L is Unity’s spark: smiling first, thinking second, turning any room into a slightly more dangerous playground. It’s easy to file him as noise—until you realize how often the noise happens at exactly the right moment.","He runs on controlled chaos. A harmless commotion here, a laugh at the wrong time there—just enough disruption to keep tension from settling. The prank is rarely the point. The point is what the prank reveals when people lose rhythm.","Ryan’s pressure is stillness. When he feels ignored, he gets reckless—not cruel, just desperate to prove he still matters. He keeps the night alive because boredom feels like a trap, and maturity feels like a cage.",Becoming ordinary—maturity and responsibility closing in.,"Being grounded, expelled, or shut down by authority.",A high-stakes prank failing and exposing him as ‘not funny.’,Pull off the greatest college prank in house history.,Stay the house’s preferred spark—useful and unforgettable.,Find a way to keep freedom without ‘growing up’ into someone he doesn’t recognize.,Pranks and juvenile disruption.,Mexican food and late-night runs.,Making people laugh when tension gets sharp.,Disruption,Ryan creates noise and diversion—social cover that pulls eyes away from what matters.,Entertainment,Nick funds Ryan’s chaos because it’s useful; Ryan treats Nick like an unlimited budget and a shield from consequences.,A trainee student with her own momentum. Partner (speculation): Anna. Ryan’s 21 and calls her his girlfriend in his head even when it’s never been said out loud—more hope than contract. Party Planner.,,,,,,
Affluence,Rick,Peter K,7,1,"Close-cropped dark hair and a neat beard; usually in a sharp charcoal suit or black high-collar top, wearing a relaxed half-smile with hands often clasped behind his back.",The quiet connector who gets you into the right room without anyone noticing he opened the door.,"He snaps open tailor scissors in a clean, practiced arc, stepping in like he is adjusting a hem and leaving a sharp split behind.","If you want access, arrive dressed for it and on time.","Peter K works Lexena Market as a Luxury Clothier with a reputation for precision—fit, fabric, and timing. His shop reads like retail, but it runs like a calendar: appointments, introductions, and quiet handoffs that never look like favors.","Unity students treat appearance as a passport, and Peter sells passports that look like taste. Rumor says he knows every back corridor on campus and every side entrance in the market, because he listens more than he talks and remembers what people pretend not to ask for.","He stays neutral on purpose. If someone tries to corner him into picking sides, he gets polite, schedules a follow-up, and reroutes the problem somewhere safer—useful, calm, and impossible to pin down.",Burning trust — a fear that sits under the ribs and won’t move.,Being exposed as the route,Forced loyalty tests,Build a lasting luxury brand,Control the best introductions,Stay close to power without being owned,Fine fabrics and clean tailoring,Quiet negotiations,Curated wardrobes,Access,Routes introductions and appointment windows that let Rick's circle move between Unity and Lexena with minimal friction.,Neutral Key,"He stays useful by staying neutral; when pressure rises, he offers alternatives instead of loyalties.","A executive urban planning professor with her own momentum. His partner is an interior designer who treats presentation like architecture; together they speak in materials, lighting, and small adjustments that make people and spaces read as approved.",,,,,,
Affluence,Rick,Eddie D,7,2,"Sleek dark hair and a trimmed beard; often in chef-black layers under a structured coat, gaze steady but guarded, shoulders set like he is bracing for questions.","A prestige-maker whose craft is immaculate, but closeness feels like an intrusion.","He raises a pan lid like a formal shield, then steps forward with one decisive impact, as if opening service to a room that did not earn it.",Do not call it luck. Taste is work.,"Eddie D is Unity's Gastronomy Icon: disciplined, exacting, and difficult to approach on a casual day. He looks like someone who learned early that excellence is the only safe currency, so he spends it sparingly.","People notice the distance first. He keeps his hands busy, keeps conversations short, and declines invitations without drama—polite enough to avoid conflict, firm enough to end it. If you ask around, you will hear the same line: he does not like strangers getting close.","When the room turns personal, he turns professional. The craft stays clean even when his mood does not, and that contrast—perfect output, guarded presence—is the exact aura Unity sells as prestige.",Being pitied — a fear that sits under the ribs and won’t move.,A public failure,Losing control of his craft,Open an ultra-exclusive restaurant,Earn recognition on his terms,Leave campus with his name intact,Mise en place routines,Quiet kitchens after hours,Sharp plating aesthetics,Prestige Plate,Supplies events and private meals that make Rick's circle look inevitable and well-funded.,Closed Door,He delivers excellence but keeps distance; new faces get tested before they get access.,"A executive private wealth manager with her own momentum. His partner runs front-of-house with an effortless smile and protects his quiet; they understand that his best honesty comes through the work, not the conversation.",,,,,,
Affluence,Rick,Criss S,7,3,"Silver hair, crisp tan suit with a burgundy tie, cigar held like punctuation; heavy-lidded stare and slow, deliberate movements behind a polished desk.",He can turn a simple request into a standard you fail to meet.,"A collector's shotgun comes up without hurry, the answer delivered low and final—like a committee vote you never saw scheduled.","Power is assigned, and I decide who qualifies.","Criss S is Unity's Principal, the face of standards and the author of what counts as acceptable. He speaks in procedure, dresses in restraint, and makes disorder feel embarrassing before he ever calls it wrong.","Unity's gatekeeping is polished, not loud, and Criss is the master of that tone. People whisper that his version of fairness is selective, because some mistakes become scandals while others become quiet meetings and rewritten reports.","He rarely blocks you directly; he slows you until momentum dies. Forms move, committees review, approvals wait, and by the time the door opens the moment has passed—no hostility on record, only standards enforced.",A federal audit,Public scandal — a fear that sits under the ribs and won’t move.,Loss of control,Expand institutional authority,Secure land and assets,Remain untouchable,Polished order — a small habit that keeps them human.,Ceremonial authority,Leverage through procedure,Standard,"Controls approvals that decide who gets rooms, resources, and institutional recognition at Unity.",Velvet Gate,"Blocks through procedure, not shouting; if you push, the process gets longer.","A executive real estate heiress with her own momentum. His partner is a judge with a calm public demeanor; their shared language is discretion, timing, and outcomes that arrive looking perfectly legal.",,,,,,
Affluence,Rick,Filthy R,7,4,"Close-cropped hair, tired eyes, and a grey suit with a red dotted tie; intense sideways look, posture angled forward like he is mid-audit.",He never threatens—he changes the numbers until your plan stops working.,"He flips open a laptop and triggers a tight interception, cutting incoming momentum out of the air like a transaction reversed at the last second.","If it is not on the ledger, it is not real.","Filthy R is Unity's Treasurer, the Ledger Warden who turns budgets into leverage and audits into weather. He does not need to raise his voice; the constraints arrive quietly, stamped and final.","He is most convincing when he sounds least emotional—policy words, risk language, clean lines. Yet people who work near him notice the odd habit: drafts of messages, half-sent apologies, honest sentences abandoned midstream.","His power is deniable by design. Funding shifts, approvals slow, and priorities change with no argument to fight. The polite surface stays intact, even when the pressure is unmistakable.",Exposure — a fear that sits under the ribs and won’t move.,Emotional accountability,Losing access to capital,Control funding outcomes,Grow the endowment,Secure legacy wealth,Spreadsheets and clean ledgers,Private rooms — a small habit that keeps them human.,Quiet leverage — a small habit that keeps them human.,Funding,"Approvals and budgets determine which projects, clubs, and campaigns can exist at Unity.",Quiet Squeeze,"Applies pressure by delaying funds and tightening rules, leaving no clean argument to attack.","A executive socialite with her own momentum. His partner is a reserved accountant who asks for plain truth; he often answers with policy language first, then tries again when the room is quiet.",,,,,,
Affluence,Rick,Kai J,7,5,"Curly dark hair, pale blue eyes, small earring, hoodie under a blazer; keeps headphones close and looks away fast, friendly expression that drops into distance in a beat.",A public icon running on fumes—he keeps people out to keep himself intact.,"He swings a microphone stand into motion and drops in with a bright, stage-like impact, turning a spotlight cue into a sudden hit.",I can perform for a room. That does not mean I owe it to you.,"Kai J is Unity's Conservatory Icon, known for making a room feel important the moment he steps on stage. Off-stage, he moves like time is borrowed—polite, brief, and already halfway to the exit.","Constant appearances trained him to keep a public smile ready, but the real tell is how quickly he disappears. He answers praise with a nod, redirects requests to his schedule, and treats quiet like a limited resource.","When he is alone, the posture changes: shoulders drop, focus returns, and the music becomes less performance and more proof. That private version is the one most people at Unity never earn.",Burnout — a fear that sits under the ribs and won’t move.,Losing his touch,Being owned by the spotlight,Control his public image,Create work that lasts,Set boundaries that hold,Late-night practice,Headphones and quiet,Clean stages — a small habit that keeps them human.,Spotlight,Provides cultural weight and visibility that makes Unity events and endorsements feel headline-ready.,Afterglow,"He appears, delivers, and leaves; access is time-boxed and guarded.",Unity Student with a life outside the campus spotlight. His partner is a dancer who understands timing and recovery; they keep the pressure light and the exits easy when the crowd gets too close.,,,,,,
Affluence,Rick,Matty I,7,6,"Neat brown hair, pale lab coat over a blue shirt, expression flat and assessing; stands close to glassware and notes, hands steady, eyes fixed like he is grading the room.","He flexes proof, not money—because proof is the only seat he can afford.","He drops a small acid flask to draw a biting line across the floor, forcing a choice: step wrong or freeze.","If you cannot define it, you cannot claim it.","Matty I holds the Molecular Lead lane at Unity, and he makes precision look like status. He does not come from a dynasty, so he builds authority with definitions, citations, and results that survive scrutiny.","On campus, his reputation splits into two rumors: brilliant and unbearable. He corrects people mid-sentence, he will argue a detail to the end, and he never lets credit drift to someone louder.","The defensiveness is readable if you watch closely. When the room turns into a wealth contest, he turns it into an intellect contest—sharp, controlled, and careful not to be treated as lesser.",Being dismissed,Being wrong in public,Losing credit for his work,Publish a breakthrough,Earn respect without a dynasty,Build a stable career lane,Clean experiments,Citations and proof,Controlled debate,Proof,"Verifies claims, keeps receipts, and provides chemical solutions that quietly solve problems others cannot.",Defensive Equal,Meets status flex with intellect flex; cooperation comes after respect is established.,"Unity Student with a life outside the campus spotlight. His partner is a bartender-wrestler type who keeps his world grounded; she does not flatter him, she listens and remembers what matters.",,,,,,
Affluence,Rick,Jodie J,7,7,"Messy brown hair and a calm half-smile, practical jacket with a bold strap; often squints at colors and double-checks labels before he commits to a layout.",Unity's curation lead who edits reality—then quietly checks it again.,"He snaps a spray can upward, leaving a sharp burst that catches airborne motion and drags it back down like a tagged verdict.","If you cannot frame it, you cannot sell it.","Jodie J is Unity's Curation Lead, the student who can make a space feel expensive with a few deliberate choices. He talks in composition—balance, line, light—and treats environment like narrative.","He relies on systems: labels, references, and second checks that look like perfectionism from the outside. Some students think he is just controlling, but the people closest to the work notice how carefully he verifies what others assume.","A quieter rumor follows him too: the landscaping sketches he never shows anyone. The idea of building living beauty is there, private and protected, because Unity rewards the finished image more than the honest process.",Public exposure,Losing control of the frame,Being mocked for limits,Curate Unity's signature look,Build a portfolio that travels,Design a private garden,Layouts and floorplans,Lighting tests — a small habit that keeps them human.,Plant catalogs — a small habit that keeps them human.,Narrative,Shapes visuals and staging that make Unity look prestigious and intentional to outsiders.,Hidden Palette,Controls through revision and verification; he avoids being questioned about what he sees and how he knows.,Unity Student with a life outside the campus spotlight. His partner is an organized assistant who keeps schedules clean; she enables his control habit by making the day run on time.,,,,,,
